Entity,Layer,XS,YS,XE,YE,XM,YM,point,geometry,X,Y
Circle,PS_YSP,37492408.286,2395947.1,37492408.286,2395947.1,37492407.686,2395947.1,1.0,"c(37492407.986, 2395947.1)",37492407.986,2395947.1
Circle,PS_YSP,37493732.767,2394764.811,37493732.767,2394764.811,37493732.167,2394764.811,1.0,"c(37493732.467, 2394764.811)",37493732.467,2394764.811
Circle,PS_YSP,37494100.993,2397731.426,37494100.993,2397731.426,37494100.393,2397731.426,1.0,"c(37494100.693, 2397731.426)",37494100.693,2397731.426
Circle,PS_YSP,37493090.737,2398258.311,37493090.737,2398258.311,37493090.137,2398258.311,1.0,"c(37493090.43700001, 2398258.311)",37493090.43700001,2398258.311
Circle,PS_YSP,37493671.48,2397819.395,37493671.48,2397819.395,37493670.88,2397819.395,1.0,"c(37493671.18, 2397819.395)",37493671.18,2397819.395
Circle,PS_YSP,37493674.305,2397909.913,37493674.305,2397909.913,37493673.705,2397909.913,1.0,"c(37493674.004999995, 2397909.913)",37493674.004999995,2397909.913
Circle,PS_YSP,37493725.178,2398521.742,37493725.178,2398521.742,37493724.578,2398521.742,1.0,"c(37493724.878000006, 2398521.742)",37493724.878000006,2398521.742
Circle,PS_YSP,37493673.367,2397659.023,37493673.367,2397659.023,37493672.767,2397659.023,1.0,"c(37493673.067, 2397659.023)",37493673.067,2397659.023
Circle,PS_YSP,37492438.286,2398448.678,37492438.286,2398448.678,37492437.686,2398448.678,1.0,"c(37492437.986, 2398448.678)",37492437.986,2398448.678
Circle,PS_YSP,37492396.292,2398446.199,37492396.292,2398446.199,37492395.692,2398446.199,1.0,"c(37492395.992, 2398446.199)",37492395.992,2398446.199
Circle,PS_YSP,37492393.99,2398537.284,37492393.99,2398537.284,37492393.39,2398537.284,1.0,"c(37492393.69, 2398537.284)",37492393.69,2398537.284
Circle,PS_YSP,37493679.019,2398658.611,37493679.019,2398658.611,37493678.419,2398658.611,1.0,"c(37493678.719, 2398658.611)",37493678.719,2398658.611
Circle,PS_YSP,37494249.938,2396214.919,37494249.938,2396214.919,37494249.338,2396214.919,1.0,"c(37494249.638, 2396214.919)",37494249.638,2396214.919
Circle,PS_YSP,37493555.994,2396127.077,37493555.994,2396127.077,37493555.394,2396127.077,1.0,"c(37493555.694000006, 2396127.077)",37493555.694000006,2396127.077
Circle,PS_YSP,37493263.628,2395030.578,37493263.628,2395030.578,37493263.028,2395030.578,1.0,"c(37493263.327999994, 2395030.578)",37493263.327999994,2395030.578
Circle,PS_YSP,37493398.476,2397492.735,37493398.476,2397492.735,37493397.876,2397492.735,1.0,"c(37493398.176, 2397492.735)",37493398.176,2397492.735
