Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,ORIG_FID,geometry
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8140,"c(37490251.224, 2397162.077)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8141,"c(37490253.426, 2397157.825)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8142,"c(37490253.991, 2397156.805)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8143,"c(37490219.253, 2397129.036)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8144,"c(37490220.021, 2397128.366)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8145,"c(37490224.826, 2397125.953)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8146,"c(37490225.929, 2397125.424)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8147,"c(37490201.462, 2397106.154)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8148,"c(37490204.454, 2397104.222)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8149,"c(37490205.593, 2397103.349)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8150,"c(37490207.137, 2397102.051)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8151,"c(37490207.988, 2397101.523)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8152,"c(37490190.524, 2397087.806)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8153,"c(37490926.032, 2397092.721)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8154,"c(37490895.571, 2397103.652)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8155,"c(37490895.612, 2397100.528)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8156,"c(37490895.755, 2397094.028)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8157,"c(37490895.627, 2397101.77)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8158,"c(37490896.102, 2397092.846)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8159,"c(37490826.389, 2397103.885)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8160,"c(37490826.517, 2397100.525)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8161,"c(37490826.118, 2397094.04)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8162,"c(37490826.542, 2397102.008)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8163,"c(37490765.619, 2397102.013)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8164,"c(37490765.753, 2397092.803)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8165,"c(37490765.436, 2397093.415)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8166,"c(37490735.621, 2397103.936)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8167,"c(37490735.593, 2397100.629)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8168,"c(37490735.27, 2397094.062)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8169,"c(37490849.988, 2397086.715)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8170,"c(37490850.019, 2397074.822)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8171,"c(37490851.037, 2396984.059)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8172,"c(37490850.835, 2396984.059)"
