Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Line,PS_WSL,37492439.042,2395479.164,37492404.52,2395479.407,37492421.781,2395479.2855,92.0
Insert,ArrowPS_WSL,37492421.105,2395479.29026,37492421.105,2395479.29026,37492422.0334,2395479.28372,92.0
Line,PS_WSL,37492395.334,2395489.94,37492404.52,2395479.407,37492399.927,2395484.6735,93.0
Insert,ArrowPS_WSL,37492400.3713,2395484.16404,37492400.3713,2395484.16404,37492399.7611,2395484.86375,93.0
Line,PS_WSL,37492392.813,2395506.412,37492395.334,2395489.94,37492394.0735,2395498.176,94.0
Insert,ArrowPS_WSL,37492394.1758,2395497.5078,37492394.1758,2395497.5078,37492394.0353,2395498.42553,94.0
Line,PS_WSL,37492404.606,2395519.079,37492395.334,2395489.94,37492399.97,2395504.5095,95.0
Insert,ArrowPS_WSL,37492399.765,2395503.86534,37492399.765,2395503.86534,37492400.0465,2395504.75005,95.0
Line,PS_WSL,37492404.59,2395530.323,37492404.606,2395519.079,37492404.598,2395524.701,96.0
Insert,ArrowPS_WSL,37492404.599,2395524.02502,37492404.599,2395524.02502,37492404.5976,2395524.95344,96.0
Line,PS_WSL,37492404.454,2395569.503,37492404.59,2395530.323,37492404.522,2395549.913,97.0
Insert,ArrowPS_WSL,37492404.5243,2395549.23702,37492404.5243,2395549.23702,37492404.5211,2395550.16544,97.0
Line,PS_WSL,37492395.891,2395569.272,37492404.454,2395569.503,37492400.1725,2395569.3875,98.0
Insert,ArrowPS_WSL,37492400.8482,2395569.40573,37492400.8482,2395569.40573,37492399.9202,2395569.38069,98.0
Line,PS_WSL,37493859.413,2395123.841,37493835.213,2395105.826,37493847.313,2395114.8335,99.0
Insert,ArrowPS_WSL,37493846.7708,2395114.42985,37493846.7708,2395114.42985,37493847.5155,2395114.98424,99.0
Line,PS_WSL,37493954.004,2395629.779,37493954.414,2395605.029,37493954.209,2395617.404,100.0
Insert,ArrowPS_WSL,37493954.2202,2395616.72811,37493954.2202,2395616.72811,37493954.2048,2395617.6564,100.0
Line,PS_WSL,37493115.747,2395542.647,37493086.759,2395542.072,37493101.253,2395542.3595,101.0
Insert,ArrowPS_WSL,37493100.5771,2395542.34609,37493100.5771,2395542.34609,37493101.5054,2395542.36451,101.0
Line,PS_WSL,37493337.011,2394887.851,37493336.77,2394903.886,37493336.8905,2394895.8685,102.0
Insert,ArrowPS_WSL,37493336.8803,2394896.54441,37493336.8803,2394896.54441,37493336.8943,2394895.61609,102.0
Line,PS_WSL,37493281.009,2394911.827,37493306.294,2394903.9,37493293.6515,2394907.8635,103.0
Insert,ArrowPS_WSL,37493294.2965,2394907.66128,37493294.2965,2394907.66128,37493293.4106,2394907.93902,103.0
Line,PS_WSL,37493277.93,2394905.092,37493281.009,2394911.827,37493279.4695,2394908.4595,104.0
Insert,ArrowPS_WSL,37493279.7506,2394909.07428,37493279.7506,2394909.07428,37493279.3645,2394908.22992,104.0
Line,PS_WSL,37493256.248,2394922.927,37493281.009,2394911.827,37493268.6285,2394917.377,105.0
Insert,ArrowPS_WSL,37493269.2453,2394917.10048,37493269.2453,2394917.10048,37493268.3981,2394917.48026,105.0
Line,PS_WSL,37492405.069,2396647.016,37492405.018,2396676.934,37492405.0435,2396661.975,106.0
Insert,ArrowPS_WSL,37492405.0423,2396662.65098,37492405.0423,2396662.65098,37492405.0439,2396661.72256,106.0
Line,PS_WSL,37492396.513,2396677.369,37492405.018,2396676.934,37492400.7655,2396677.1515,107.0
Insert,ArrowPS_WSL,37492401.4406,2396677.11697,37492401.4406,2396677.11697,37492400.5134,2396677.16439,107.0
Line,PS_WSL,37494291.413,2395790.775,37494288.808,2395790.096,37494290.1105,2395790.4355,
Line,PS_WSL,37493087.019,2395360.878,37493054.808,2395359.725,37493070.9135,2395360.3015,108.0
Insert,ArrowPS_WSL,37493070.2379,2395360.27732,37493070.2379,2395360.27732,37493071.1658,2395360.31053,108.0
Line,PS_WSL,37493044.879,2395359.627,37493054.808,2395359.725,37493049.8435,2395359.676,109.0
Insert,ArrowPS_WSL,37493050.5195,2395359.68267,37493050.5195,2395359.68267,37493049.5911,2395359.67351,109.0
Line,PS_WSL,37492433.36,2396374.986,37492404.799,2396374.764,37492419.0795,2396374.875,110.0
