Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Insert,ArrowPS_YSL,37492463.5387,2398255.06391,37492463.5387,2398255.06391,37492462.9767,2398255.80294,83.0
Line,PS_YSL,37492476.997,2398240.875,37492472.995,2398242.628,37492474.996,2398241.7515,
Line,PS_YSL,37493051.129,2396897.758,37493081.265,2396902.934,37493066.197,2396900.346,84.0
Insert,ArrowPS_YSL,37493066.8632,2396900.46043,37493066.8632,2396900.46043,37493065.9482,2396900.30327,84.0
Line,PS_YSL,37493075.474,2397022.222,37493080.935,2397022.947,37493078.2045,2397022.5845,85.0
Insert,ArrowPS_YSL,37493078.8746,2397022.67346,37493078.8746,2397022.67346,37493077.9543,2397022.55128,85.0
Line,PS_YSL,37493933.846,2394430.853,37493933.809,2394460.353,37493933.8275,2394445.603,86.0
Insert,ArrowPS_YSL,37493933.8267,2394446.27898,37493933.8267,2394446.27898,37493933.8278,2394445.35056,86.0
Line,PS_YSL,37493927.02,2394459.701,37493933.809,2394460.353,37493930.4145,2394460.027,87.0
Insert,ArrowPS_YSL,37493931.0874,2394460.09162,37493931.0874,2394460.09162,37493930.1632,2394460.00287,87.0
Line,PS_YSL,37493933.809,2394460.353,37493935.258,2394478.029,37493934.5335,2394469.191,88.0
Insert,ArrowPS_YSL,37493934.5887,2394469.86472,37493934.5887,2394469.86472,37493934.5129,2394468.93941,88.0
Line,PS_YSL,37493929.898,2394481.451,37493935.258,2394478.029,37493932.578,2394479.74,89.0
Insert,ArrowPS_YSL,37493933.1478,2394479.37624,37493933.1478,2394479.37624,37493932.3652,2394479.87584,89.0
Line,PS_YSL,37493936.58,2394477.531,37493935.258,2394478.029,37493935.919,2394477.78,
Line,PS_YSL,37493946.607,2394491.612,37493946.635,2394484.929,37493946.621,2394488.2705,90.0
Insert,ArrowPS_YSL,37493946.6238,2394487.59452,37493946.6238,2394487.59452,37493946.6199,2394488.52293,90.0
Line,PS_YSL,37493398.176,2397492.735,37493395.601,2397473.346,37493396.8885,2397483.0405,91.0
Insert,ArrowPS_YSL,37493396.7995,2397482.3704,37493396.7995,2397482.3704,37493396.9217,2397483.29074,91.0
Line,PS_YSL,37494233.34,2395968.211,37494231.82,2395967.426,37494232.58,2395967.8185,
Line,PS_YSL,37494228.912,2395997.587,37494231.82,2395967.426,37494230.366,2395982.5065,92.0
Insert,ArrowPS_YSL,37494230.4309,2395981.83364,37494230.4309,2395981.83364,37494230.3418,2395982.75777,92.0
Line,PS_YSL,37494231.82,2395967.426,37494234.783,2395937.755,37494233.3015,2395952.5905,93.0
Insert,ArrowPS_YSL,37494233.3687,2395951.91786,37494233.3687,2395951.91786,37494233.2764,2395952.84169,93.0
Line,PS_YSL,37494242.587,2395878.81,37494240.432,2395878.298,37494241.5095,2395878.554,
Line,PS_YSL,37494234.783,2395937.755,37494240.432,2395878.298,37494237.6075,2395908.0265,94.0
Insert,ArrowPS_YSL,37494237.6714,2395907.35355,37494237.6714,2395907.35355,37494237.5836,2395908.27781,94.0
Line,PS_YSL,37494199.687,2395862.901,37494199.687,2395864.314,37494199.687,2395863.6075,
