Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32053,"c(37489244.0408156, 2396899.34661779)",37489244.04,2396899.347
Text,PS_YSLText,120,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,32054,"c(37489212.8072786, 2396893.09500008)",37489212.81,2396893.095
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32055,"c(37489287.9707261, 2396887.08050542)",37489287.97,2396887.081
Text,PS_YSLText,120,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,32056,"c(37489266.5849945, 2396892.64012114)",37489266.58,2396892.64
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32057,"c(37489299.5346451, 2396896.66999238)",37489299.53,2396896.67
Text,PS_YSLText,120,0,PVC  DN200,CDShxStyle,PVC  DN200,32058,"c(37489299.0984601, 2396896.75231875)",37489299.1,2396896.752
Text,PS_YSLText,120,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,32059,"c(37489293.3831948, 2396892.37036858)",37489293.38,2396892.37
Text,PS_YSLText,120,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,32060,"c(37489304.2754078, 2396892.6675707)",37489304.28,2396892.668
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,32061,"c(37489309.9176066, 2396887.35382606)",37489309.92,2396887.354
Text,PS_YSLText,120,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,32062,"c(37489371.9779032, 2396888.65242461)",37489371.98,2396888.652
Text,PS_YSLText,120,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,32063,"c(37489341.0922216, 2396892.65100316)",37489341.09,2396892.651
Text,PS_YSLText,120,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,32064,"c(37489399.2634096, 2396901.92406593)",37489399.26,2396901.924
Text,PS_YSLText,120,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,32065,"c(37489426.8239306, 2396921.68283112)",37489426.82,2396921.683
Text,PS_YSLText,120,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,32066,"c(37489717.0408242, 2398120.3620001)",37489717.04,2398120.362
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,32067,"c(37489712.405998, 2398100.65508228)",37489712.41,2398100.655
