Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47638,"c(37490287.4332952, 2397265.70461655)",37490287.4332952,2397265.70461655
Text,PS_WSLText,40,0,Ì≈  DN1400X1000,CDShxStyle,Ì≈  DN1400X1000,47639,"c(37490216.0168137, 2397240.67915171)",37490216.0168137,2397240.67915171
Text,PS_WSLText,40,0,Ì≈  DN1400X1000,CDShxStyle,Ì≈  DN1400X1000,47640,"c(37490202.825523, 2397229.21807421)",37490202.825523,2397229.21807421
Text,PS_WSLText,40,0,Ì≈  DN1400X1000,CDShxStyle,Ì≈  DN1400X1000,47641,"c(37490188.9067916, 2397223.12871199)",37490188.9067916,2397223.12871199
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47642,"c(37490435.8775087, 2397320.31885383)",37490435.8775087,2397320.31885383
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47643,"c(37490424.3352126, 2397309.30955769)",37490424.3352126,2397309.30955769
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47644,"c(37490412.9455292, 2397294.96533685)",37490412.9455292,2397294.96533685
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47645,"c(37491119.0980007, 2397270.38370514)",37491119.0980007,2397270.38370514
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47646,"c(37491152.0735848, 2397243.16060984)",37491152.0735848,2397243.16060984
Text,PS_WSLText,40,0,Ì≈  DN1400X1200,CDShxStyle,Ì≈  DN1400X1200,47647,"c(37491137.280004, 2397260.266021)",37491137.280004,2397260.266021
Text,PS_WSLText,40,0,Ì≈  DN1400X1000,CDShxStyle,Ì≈  DN1400X1000,47648,"c(37490168.7188247, 2397222.685806)",37490168.7188247,2397222.685806
Text,PS_WSLText,40,0,Ì≈  DN1200,CDShxStyle,Ì≈  DN1200,47649,"c(37490144.2454897, 2399138.93932316)",37490144.2454897,2399138.93932316
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47650,"c(37489632.8508669, 2395595.33963456)",37489632.8508669,2395595.33963456
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47651,"c(37489675.4852266, 2395572.00551595)",37489675.4852266,2395572.00551595
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47652,"c(37489555.5878512, 2395636.2892233)",37489555.5878512,2395636.2892233
Text,PS_WSLText,40,0,÷˝Ã˙  DN1200,CDShxStyle,÷˝Ã˙  DN1200,47653,"c(37489590.0525446, 2395618.24061244)",37489590.0525446,2395618.24061244
